53000.000000,62000.000000,50000.000000,70000.000000
53013.890819,62022.221067,50023.611111,70011.112611
53027.785498,62044.439824,50047.222222,70022.228222
53041.684037,62066.656272,50070.833333,70033.346833
53055.586436,62088.870409,50094.444444,70044.468444
53069.492694,62111.082236,50118.055556,70055.593056
53083.402813,62133.291753,50141.666667,70066.720667
53097.316792,62155.498961,50165.277778,70077.851278
53111.234631,62177.703858,50188.888889,70088.984889
53125.156330,62199.906445,50212.500000,70100.121500
53139.081889,62222.106722,50236.111111,70111.261111
53153.011308,62244.304689,50259.722222,70122.403722
53166.944587,62266.500347,50283.333333,70133.549333
53180.881726,62288.693694,50306.944444,70144.697944
53194.822724,62310.884731,50330.555556,70155.849556
53208.767583,62333.073458,50354.166667,70167.004167
53222.716302,62355.259876,50377.777778,70178.161778
53236.668881,62377.443983,50401.388889,70189.322389
53250.625320,62399.625780,50425.000000,70200.486000
53264.585619,62421.805267,50448.611111,70211.652611
53278.549778,62443.982444,50472.222222,70222.822222
53292.517797,62466.157312,50495.833333,70233.994833
53306.489676,62488.329869,50519.444444,70245.170444
53320.465414,62510.500116,50543.055556,70256.349056
53334.445013,62532.668053,50566.666667,70267.530667
53348.428472,62554.833681,50590.277778,70278.715278
53362.415791,62576.996998,50613.888889,70289.902889
53376.406970,62599.158005,50637.500000,70301.093500
53390.402009,62621.316702,50661.111111,70312.287111
53404.400908,62643.473089,50684.722222,70323.483722
53418.403667,62665.627167,50708.333333,70334.683333
53432.410286,62687.778934,50731.944444,70345.885944
53446.420764,62709.928391,50755.555556,70357.091556
53460.435103,62732.075538,50779.166667,70368.300167
53474.453302,62754.220376,50802.777778,70379.511778
53488.475361,62776.362903,50826.388889,70390.726389
53502.501280,62798.503120,50850.000000,70401.944000
53516.531059,62820.641027,50873.611111,70413.164611
53530.564698,62842.776624,50897.222222,70424.388222
53544.602197,62864.909912,50920.833333,70435.614833
53558.643556,62887.040889,50944.444444,70446.844444
53572.688774,62909.169556,50968.055556,70458.077056
53586.737853,62931.295913,50991.666667,70469.312667
53600.790792,62953.419961,51015.277778,70480.551278
53614.847591,62975.541698,51038.888889,70491.792889
53628.908250,62997.661125,51062.500000,70503.037500
53642.972769,63019.778242,51086.111111,70514.285111
53657.041148,63041.893049,51109.722222,70525.535722
53671.113387,63064.005547,51133.333333,70536.789333
53685.189486,63086.115734,51156.944444,70548.045944
53699.269444,63108.223611,51180.555556,70559.305556
53713.353263,63130.329178,51204.166667,70570.568167
53727.440942,63152.432436,51227.777778,70581.833778
53741.532481,63174.533383,51251.388889,70593.102389
53755.627880,63196.632020,51275.000000,70604.374000
53769.727139,63218.728347,51298.611111,70615.648611
53783.830258,63240.822364,51322.222222,70626.926222
53797.937237,63262.914072,51345.833333,70638.206833
53812.048076,63285.003469,51369.444444,70649.490444
53826.162774,63307.090556,51393.055556,70660.777056
53840.281333,63329.175333,51416.666667,70672.066667
53854.403752,63351.257801,51440.277778,70683.359278
53868.530031,63373.337958,51463.888889,70694.654889
53882.660170,63395.415805,51487.500000,70705.953500
53896.794169,63417.491342,51511.111111,70717.255111
53910.932028,63439.564569,51534.722222,70728.559722
53925.073747,63461.635487,51558.333333,70739.867333
53939.219326,63483.704094,51581.944444,70751.177944
53953.368764,63505.770391,51605.555556,70762.491556
53967.522063,63527.834378,51629.166667,70773.808167
